# Fenster 2026-08-27 bis 2026-09-10 (14 Tage) · 10100 Decks im Fenster · 43668 kumulativ seit Formatbeginn. count_fenster ist die Differenz zweier gemessener Kumulativstaende, keine Schaetzung. Erzeugt von scripts/build_online_fenster.py
deck_name;rank_fenster;count_fenster;share_fenster;count_kumulativ;share_kumulativ;rang_kumulativ;rang_versatz;share_vorfenster;trend_fenster
Mega Gengar;88;6;0,06;16;0,04;104;16;0,03;0,03
Ethan's Magcargo;89;5;0,05;24;0,05;88;-1;0,07;-0,02
Feraligatr;90;5;0,05;16;0,04;103;13;0,03;0,02
Tera Box;91;5;0,05;74;0,17;62;-29;0,22;-0,17
Zygarde Barbaracle;92;5;0,05;59;0,14;68;-24;0,06;-0,01
Archaludon Zoroark;93;4;0,04;25;0,06;86;-7;0,02;0,02
Mega Feraligatr;94;4;0,04;42;0,1;77;-17;0,04;-0,0
Sinistcha Ogerpon;95;4;0,04;23;0,05;90;-5;0,09;-0,05
Archaludon;96;3;0,03;42;0,1;75;-21;0,04;-0,01
Blaziken;97;3;0,03;22;0,05;95;-2;0,05;-0,02
Mega Latias;98;3;0,03;8;0,02;110;12;0,01;0,02
Mega Manectric;99;3;0,03;7;0,02;111;12;0,0;0,03
Mega Zygarde;100;3;0,03;20;0,05;96;-4;0,06;-0,03
Raging Bolt Bellibolt;101;3;0,03;10;0,02;106;5;0,02;0,01
Toxtricity Brute Bonnet;102;3;0,03;6;0,01;112;10;0,01;0,02
Dragapult Zoroark;103;2;0,02;8;0,02;109;6;0,04;-0,02
Mega Sharpedo;104;2;0,02;9;0,02;108;4;0,02;-0,0
Tyranitar;105;2;0,02;5;0,01;117;12;0,01;0,01
Ancient Box;106;1;0,01;1;0,0;139;33;0,0;0,01
Flygon;107;1;0,01;10;0,02;107;0;0,01;-0,0
Heatran Metang;108;1;0,01;2;0,0;132;24;0,0;0,01
Hydrapple;109;1;0,01;3;0,01;123;14;0,0;0,01
Iron Thorns;110;1;0,01;56;0,13;70;-40;0,08;-0,07
Luxray;111;1;0,01;6;0,01;114;3;0,03;-0,02
Mega Diancie;112;1;0,01;5;0,01;116;4;0,02;-0,01
Paldean Tauros;113;1;0,01;17;0,04;102;-11;0,06;-0,05
Scizor;114;1;0,01;12;0,03;105;-9;0,01;-0,0
Zoroark Crustle;115;1;0,01;6;0,01;115;0;0,01;0,0
Alolan Exeggutor ex;116;0;0,0;2;0,0;125;9;0,01;-0,01
Blissey;117;0;0,0;18;0,04;98;-19;0,01;-0,01
Bloodmoon Ursaluna;118;0;0,0;3;0,01;122;4;0,02;-0,02
Cinderace;119;0;0,0;5;0,01;119;0;0,02;-0,02
Cornerstone Mask Ogerpon;120;0;0,0;3;0,01;121;1;0,0;0,0
Dragapult Iron Thorns;121;0;0,0;1;0,0;135;14;0,0;0,0
Dragonite Eelektrik;122;0;0,0;5;0,01;118;-4;0,0;0,0
Farigiraf;123;0;0,0;2;0,0;128;5;0,0;0,0
Flareon;124;0;0,0;5;0,01;120;-4;0,01;-0,01
Future Box;125;0;0,0;1;0,0;137;12;0,01;-0,01
Galvantula;126;0;0,0;1;0,0;138;12;0,0;0,0
Gengar;127;0;0,0;17;0,04;101;-26;0,03;-0,03
Hydrapple Ogerpon;128;0;0,0;2;0,0;131;3;0,01;-0,01
Incineroar;129;0;0,0;2;0,0;127;-2;0,01;-0,01
Milotic;130;0;0,0;1;0,0;134;4;0,0;0,0
Okidogi;131;0;0,0;3;0,01;124;-7;0,01;-0,01
Raging Bolt;132;0;0,0;2;0,0;130;-2;0,0;0,0
Rocket's Nidoking;133;0;0,0;24;0,05;87;-46;0,06;-0,06
Rocket's Porygon-Z;134;0;0,0;2;0,0;126;-8;0,01;-0,01
Salamence;135;0;0,0;1;0,0;136;1;0,0;0,0
Scovillain;136;0;0,0;6;0,01;113;-23;0,03;-0,03
Slaking;137;0;0,0;2;0,0;129;-8;0,01;-0,01
Terapagos Noctowl;138;0;0,0;17;0,04;100;-38;0,06;-0,06
Zoroark Lucario;139;0;0,0;1;0,0;133;-6;0,01;-0,01
