name,set,number,type,rarity,image_url,international_prints
Camerupt,ASC,28,R Stage 1,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_028_R_EN_LG.png,ASC-28
Tepig,ASC,29,R Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_029_R_EN_LG.png,ASC-29
Pignite,ASC,30,R Stage 1,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_030_R_EN_LG.png,ASC-30
Mega Emboar ex,ASC,31,R Stage 2,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_031_R_EN_LG.png,"ASC-273,ASC-31"
N's Darumaka,ASC,32,R Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_032_R_EN_LG.png,"ASC-32,JTG-26"
N's Darmanitan,ASC,33,R Stage 1,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_033_R_EN_LG.png,"ASC-33,JTG-27,SVP-181"
Salandit,ASC,34,R Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_034_R_EN_LG.png,"ASC-34,SCR-23"
Salazzle,ASC,35,R Stage 1,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_035_R_EN_LG.png,"ASC-224,ASC-35,SCR-24"
Scorbunny,ASC,36,R Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_036_R_EN_LG.png,"ASC-225,ASC-36,SCR-26"
Raboot,ASC,37,R Stage 1,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_037_R_EN_LG.png,"ASC-37,SCR-147,SCR-27"
Cinderace ex,ASC,38,R Stage 2,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_038_R_EN_LG.png,"ASC-38,SCR-157,SCR-28,SVP-163"
Psyduck,ASC,39,W Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_039_R_EN_LG.png,"ASC-226,ASC-39,MEP-7"
Golduck,ASC,40,W Stage 1,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_040_R_EN_LG.png,"ASC-40,MEP-8"
Totodile,ASC,41,W Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_041_R_EN_LG.png,ASC-41
Croconaw,ASC,42,W Stage 1,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_042_R_EN_LG.png,ASC-42
Mega Feraligatr ex,ASC,43,W Stage 2,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_043_R_EN_LG.png,"ASC-274,ASC-43"
Sneasel,ASC,44,W Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_044_R_EN_LG.png,"ASC-44,SFA-13"
Weavile,ASC,45,W Stage 1,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_045_R_EN_LG.png,"ASC-228,ASC-45,SFA-14"
Snorunt,ASC,46,W Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_046_R_EN_LG.png,"ASC-227,ASC-46"
Mega Froslass ex,ASC,47,W Stage 1,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_047_R_EN_LG.png,"ASC-265,ASC-275,ASC-47"
Regice ex,ASC,48,W Basic,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_048_R_EN_LG.png,ASC-48
N's Vanillite,ASC,49,W Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_049_R_EN_LG.png,ASC-49
N's Vanillish,ASC,50,W Stage 1,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_050_R_EN_LG.png,ASC-50
N's Vanilluxe,ASC,51,W Stage 2,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_051_R_EN_LG.png,ASC-51
Snom,ASC,52,W Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_052_R_EN_LG.png,ASC-52
Frosmoth,ASC,53,W Stage 1,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_053_R_EN_LG.png,ASC-53
Glastrier,ASC,54,W Basic,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_054_R_EN_LG.png,ASC-54
Pikachu,ASC,55,L Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_055_R_EN_LG.png,ASC-55
Raichu,ASC,56,L Stage 1,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_056_R_EN_LG.png,ASC-56
Pikachu ex,ASC,57,L Basic,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_057_R_EN_LG.png,"ASC-277,ASC-57,PRE-179,SSP-219,SSP-238,SSP-247,SSP-57"
Voltorb ex,ASC,58,L Basic,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_058_R_EN_LG.png,ASC-58
Tynamo,ASC,59,L Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_059_R_EN_LG.png,"ASC-59,BLK-113,BLK-30"
Eelektrik,ASC,60,L Stage 1,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_060_R_EN_LG.png,"ASC-60,BLK-114,BLK-31,NVI-40"
Mega Eelektross ex,ASC,61,L Stage 2,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_061_R_EN_LG.png,"ASC-266,ASC-278,ASC-61"
Stunfisk,ASC,62,L Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_062_R_EN_LG.png,ASC-62
Helioptile,ASC,63,L Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_063_R_EN_LG.png,ASC-63
Heliolisk,ASC,64,L Stage 1,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_064_R_EN_LG.png,"ASC-229,ASC-64"
Charjabug,ASC,65,L Stage 1,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_065_R_EN_LG.png,"ASC-65,TEF-169,TEF-55"
Vikavolt,ASC,66,L Stage 2,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_066_R_EN_LG.png,"ASC-230,ASC-66,SCR-53"
Tapu Koko,ASC,67,L Basic,Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_067_R_EN_LG.png,ASC-67
Hop's Pincurchin ex,ASC,68,L Basic,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_068_R_EN_LG.png,ASC-68
Iono's Tadbulb,ASC,69,L Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_069_R_EN_LG.png,"ASC-69,JTG-52"
Iono's Bellibolt ex,ASC,70,L Stage 1,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_070_R_EN_LG.png,"ASC-279,ASC-70,JTG-172,JTG-183,JTG-188,JTG-53,SVP-194"
Iono's Wattrel,ASC,71,L Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_071_R_EN_LG.png,"ASC-231,ASC-71,JTG-54"
Iono's Kilowattrel,ASC,72,L Stage 1,Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_072_R_EN_LG.png,"ASC-72,JTG-163,JTG-55,SVP-182"
Miraidon ex,ASC,73,L Basic,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_073_R_EN_LG.png,ASC-73
Clefairy,ASC,74,P Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_074_R_EN_LG.png,"ASC-74,TWM-78"
Clefable,ASC,75,P Stage 1,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_075_R_EN_LG.png,"ASC-75,TWM-79"
Lillie's Clefairy ex,ASC,76,P Basic,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_076_R_EN_LG.png,"ASC-280,ASC-76,JTG-173,JTG-184,JTG-56,SVP-195"
Team Rocket's Exeggcute,ASC,77,P Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_077_R_EN_LG.png,ASC-77
Team Rocket's Exeggutor,ASC,78,P Stage 1,Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_078_R_EN_LG.png,ASC-78
Team Rocket's Mewtwo ex,ASC,79,P Basic,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_079_R_EN_LG.png,"ASC-281,ASC-79,DRI-213,DRI-231,DRI-240,DRI-81,SVP-205,SVP-216"
Togepi,ASC,80,P Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_080_R_EN_LG.png,"ASC-80,SSP-70"
Togetic,ASC,81,P Stage 1,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_081_R_EN_LG.png,"ASC-81,SSP-71"
Togekiss,ASC,82,P Stage 2,Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_082_R_EN_LG.png,"ASC-235,ASC-82,SSP-72"
Marill,ASC,83,P Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_083_R_EN_LG.png,"ASC-232,ASC-83"
Azumarill ex,ASC,84,P Stage 1,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_084_R_EN_LG.png,ASC-84
Misdreavus,ASC,85,P Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_085_R_EN_LG.png,"ASC-233,ASC-85"
Mismagius,ASC,86,P Stage 1,Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_086_R_EN_LG.png,ASC-86
Ralts,ASC,87,P Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_087_R_EN_LG.png,"ASC-87,MEG-58"
Kirlia,ASC,88,P Stage 1,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_088_R_EN_LG.png,"ASC-88,MEG-59"
Mega Gardevoir ex,ASC,89,P Stage 2,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_089_R_EN_LG.png,"ASC-89,MEG-159,MEG-178,MEG-187,MEG-60"
Shuppet,ASC,90,P Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_090_R_EN_LG.png,"ASC-90,JTG-59"
Banette,ASC,91,P Stage 1,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_091_R_EN_LG.png,"ASC-234,ASC-91,JTG-60"
Rotom,ASC,92,P Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_092_R_EN_LG.png,ASC-92
Swirlix,ASC,93,P Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_093_R_EN_LG.png,ASC-93
Slurpuff,ASC,94,P Stage 1,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_094_R_EN_LG.png,"ASC-236,ASC-94"
Hop's Phantump,ASC,95,P Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_095_R_EN_LG.png,ASC-95
Hop's Trevenant,ASC,96,P Stage 1,Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_096_R_EN_LG.png,"ASC-237,ASC-96"
Team Rocket's Mimikyu,ASC,97,P Basic,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_097_R_EN_LG.png,"ASC-238,ASC-97,DRI-87"
Spectrier,ASC,98,P Basic,Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_098_R_EN_LG.png,ASC-98
Munkidori,ASC,99,P Basic,Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_099_R_EN_LG.png,"ASC-99,PRE-44,SFA-72,TWM-95"
Team Rocket's Diglett,ASC,100,F Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_100_R_EN_LG.png,ASC-100
Team Rocket's Dugtrio,ASC,101,F Stage 1,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_101_R_EN_LG.png,"ASC-101,ASC-239"
Hitmontop,ASC,102,F Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_102_R_EN_LG.png,"ASC-102,ASC-240"
Meditite,ASC,103,F Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_103_R_EN_LG.png,ASC-103
Medicham,ASC,104,F Stage 1,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_104_R_EN_LG.png,"ASC-104,ASC-241"
Lunatone,ASC,105,F Basic,Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_105_R_EN_LG.png,"ASC-105,MEG-74,MEP-4"
Solrock,ASC,106,F Basic,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_106_R_EN_LG.png,"ASC-106,MEG-75"
Regirock ex,ASC,107,F Basic,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_107_R_EN_LG.png,"ASC-107,DRI-101,DRI-214"
Groudon,ASC,108,F Basic,Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_108_R_EN_LG.png,ASC-108
Cynthia's Gible,ASC,109,F Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_109_R_EN_LG.png,"ASC-109,DRI-102"
Cynthia's Gabite,ASC,110,F Stage 1,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_110_R_EN_LG.png,"ASC-110,DRI-103"
Cynthia's Garchomp ex,ASC,111,F Stage 2,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_111_R_EN_LG.png,"ASC-111,DRI-104,DRI-215,DRI-232,DRI-241,SVP-204"
Riolu,ASC,112,F Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_112_R_EN_LG.png,"ASC-112,MEG-76,MEP-10"
Mega Lucario ex,ASC,113,F Stage 1,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_113_R_EN_LG.png,"ASC-113,MEG-160,MEG-179,MEG-188,MEG-77,MEP-12"
Stunfisk ex,ASC,114,F Basic,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_114_R_EN_LG.png,"ASC-114,ASC-252"
Pancham,ASC,115,F Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_115_R_EN_LG.png,ASC-115
Mega Hawlucha ex,ASC,116,F Basic,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_116_R_EN_LG.png,"ASC-116,ASC-268,ASC-283"
Carbink,ASC,117,F Basic,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_117_R_EN_LG.png,"ASC-117,ASC-242"
Rolycoly,ASC,118,F Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_118_R_EN_LG.png,ASC-118
Carkol,ASC,119,F Stage 1,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_119_R_EN_LG.png,ASC-119
Coalossal,ASC,120,F Stage 2,Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_120_R_EN_LG.png,ASC-120
Koraidon ex,ASC,121,F Basic,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_121_R_EN_LG.png,ASC-121
Okidogi,ASC,122,F Basic,Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_122_R_EN_LG.png,ASC-122
Gastly,ASC,123,D Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_123_R_EN_LG.png,"ASC-123,PFL-54"
Haunter,ASC,124,D Stage 1,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_124_R_EN_LG.png,"ASC-124,MEP-27,PFL-55"
Mega Gengar ex,ASC,125,D Stage 2,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_125_R_EN_LG.png,"ASC-125,ASC-269,ASC-284,PFL-56"
Team Rocket's Murkrow,ASC,126,D Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_126_R_EN_LG.png,"ASC-126,DRI-127,DRI-200"
Team Rocket's Honchkrow,ASC,127,D Stage 1,Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_127_R_EN_LG.png,ASC-127
Poochyena,ASC,128,D Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_128_R_EN_LG.png,"ASC-128,TEF-105"
Mightyena,ASC,129,D Stage 1,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_129_R_EN_LG.png,"ASC-129,ASC-243,TEF-106"
Galarian Zigzagoon,ASC,130,D Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_130_R_EN_LG.png,ASC-130
Galarian Linoone,ASC,131,D Stage 1,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_131_R_EN_LG.png,ASC-131
Galarian Obstagoon,ASC,132,D Stage 2,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_132_R_EN_LG.png,"ASC-132,ASC-245"
Cynthia's Spiritomb,ASC,133,D Basic,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_133_R_EN_LG.png,"ASC-133,ASC-244,DRI-129"
Scraggy,ASC,134,D Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_134_R_EN_LG.png,ASC-134
Mega Scrafty ex,ASC,135,D Stage 1,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_135_R_EN_LG.png,"ASC-135,ASC-270,ASC-285"
N's Zorua,ASC,136,D Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_136_R_EN_LG.png,"ASC-136,JTG-97,SVP-189"
N's Zoroark ex,ASC,137,D Stage 1,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_137_R_EN_LG.png,"ASC-137,ASC-286,JTG-175,JTG-185,JTG-189,JTG-98"
Vullaby,ASC,138,D Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_138_R_EN_LG.png,ASC-138
Mandibuzz ex,ASC,139,D Stage 1,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_139_R_EN_LG.png,ASC-139
Pangoro,ASC,140,D Stage 1,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_140_R_EN_LG.png,ASC-140
Hoopa,ASC,141,D Basic,Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_141_R_EN_LG.png,ASC-141
Fezandipiti ex,ASC,142,D Basic,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_142_R_EN_LG.png,"ASC-142,ASC-288,SFA-38,SFA-84,SFA-92"
Pecharunt,ASC,143,D Basic,Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_143_R_EN_LG.png,ASC-143
Mawile,ASC,144,M Basic,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_144_R_EN_LG.png,"ASC-144,ASC-246"
Registeel ex,ASC,145,M Basic,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_145_R_EN_LG.png,ASC-145
Pawniard,ASC,146,M Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_146_R_EN_LG.png,ASC-146
Bisharp,ASC,147,M Stage 1,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_147_R_EN_LG.png,ASC-147
Kingambit,ASC,148,M Stage 2,Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_148_R_EN_LG.png,ASC-148
Togedemaru ex,ASC,149,M Basic,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_149_R_EN_LG.png,ASC-149
Dratini,ASC,150,N Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_150_R_EN_LG.png,ASC-150
